# sections
CS Mentorship
CS Research
CS Research Experience Undergraduates (REU)
CS Scholarships
CS conferences and scholarships
CS exploratory programs
CS fellowships
CS internship alternative
CS underclassmen internships
Coding interview resources
Finance and consulting exploratory programs
For rising seniors and seniors
Other stuff
Part-time internships
# rows
CS exploratory programs	[Women in Technology Forum](https://www.wellsfargojobs.com/job/-/-/1251/17281627)	Name=[Women in Technology Forum](https://www.wellsfargojobs.com/job/-/-/1251/17281627); Description=The Wells Fargo Women in Technology Intern Virtual Forum is an exclusive two-day program designed to encourage and inspire women who have an interest in pursuing a career in Technology. A select group of high-performing students from diverse backgrounds will be invited to participate. During the virtual forum, you will have the opportunity to learn from successful women in technology at Wells Fargo who will share their expertise and knowledge to help you become a future leader.; Approximate Deadline=September
CS fellowships	[8VC Fellowships](https://www.8vc.com/fellowships)	Name=[8VC Fellowships](https://www.8vc.com/fellowships); Description=The 8VC Fellowship is a unique, immersive, three-month internship program that places undergraduate students in contributing roles at some of the world's most innovative startups.
CS fellowships	[Bessemer Fellowship Program](https://www.bvp.com/bessemer-fellows)	Name=[Bessemer Fellowship Program](https://www.bvp.com/bessemer-fellows); Description=A Bessemer Fellow is a special appointment for high-performing students interested in engineering, product, or data science within the Bessemer portfolio. We accept students who have demonstrated excellence in their academic or professional pursuits and have a deep passion for entrepreneurship and innovation.; Approximate Deadline=July
CS fellowships	[Kleiner Perkins Fellows](https://fellows.kleinerperkins.com)	Name=[Kleiner Perkins Fellows](https://fellows.kleinerperkins.com); Description=The KPCB fellowship program gives college students a chance to intern at one of its portfolio companies. Gain deep technical skills while being mentored by an executive. Unique curriculum which include founder speaker series, entrepreneurial workshops, and community building events; Approximate Deadline=Jan
CS fellowships	[thrivecap Fellows](https://fellows.thrivecap.com)	Name=[thrivecap Fellows](https://fellows.thrivecap.com); Description=In this inaugural class, the Thrive Summer Fellowship will provide a select group of rising college juniors with an 8-week paid internship, a stipend to offset education costs, and exclusive access to the Thrive team and portfolio organizations.; Approximate Deadline=February
CS internship alternative	[Break Through Tech AI Immersion Program](https://ecornell.cornell.edu/portal/break-through-tech-ai-information/)	Name=[Break Through Tech AI Immersion Program](https://ecornell.cornell.edu/portal/break-through-tech-ai-information/); Description=The Break Through Tech AI Program helps college women (trans and cis), nonbinary, and other underrepresented groups in tech gain the skills they need to get jobs in the fastest-growing areas of tech: data science, machine learning, and artificial intelligence.; Approximate Deadline=March
CS internship alternative	[Futureforce Tech Launchpad](https://info.codepath.org/futureforce-tech-launchpad-salesforce-and-codepath)	Name=[Futureforce Tech Launchpad](https://info.codepath.org/futureforce-tech-launchpad-salesforce-and-codepath); Description=Futureforce Tech Launchpad, powered by CodePath. This paid 10-week summer pre-internship program for rising juniors, will take place at the Salesforce Tower in San Francisco. This hands-on immersive experience combines a technical curriculum and 1-1 mentorship to make students job-ready. As part of the curriculum, students will learn full stack web development, engineering soft skills, and be assigned capstone projects centering around web development and design fundamentals.; Approximate Deadline=April
CS internship alternative	[Google Summer of Code](https://summerofcode.withgoogle.com)	Name=[Google Summer of Code](https://summerofcode.withgoogle.com); Description=Google Summer of Code is a global program focused on bringing more student developers into open source software development. Students work with an open source organization on a 10 week programming project during their break from school.; Approximate Deadline=April
CS internship alternative	[IBM Accelerate Early Talent Identification Program](https://www.ibm.com/careers/us-en/early-career/entry-level/)	Name=[IBM Accelerate Early Talent Identification Program](https://www.ibm.com/careers/us-en/early-career/entry-level/); Description=IBM Accelerate offers undergraduate students a virtual learning experience with live, weekly learning sessions over eight weeks during the summer. Earn an industry-recognized badge while building your skills with our IBMers. Second and third-year undergraduate students attending a U.S. post-secondary institution.; Approximate Deadline=?
CS internship alternative	[MLH Fellowship](https://fellowship.mlh.io)	Name=[MLH Fellowship](https://fellowship.mlh.io); Description=The MLH Fellowship is a 12-week internship alternative for aspiring software engineers. Our programs pair fun, educational curriculum with practical experience that you can put on your resume right away. It's collaborative, remote, and happens under the guidance of expert mentors. Explorer, Open Source and Externship. Stipend available. Application review, 10 minute behavioral interview and 15 minute technical interview.; Approximate Deadline=Winter, Spring, Fall
